APN,COMMUNITY,SITUS,LAT,LONG
501-79-631,ACOMA,15830 W BANFF LN SURPRISE 85379,33.61855915,-112.4006689
501-79-632,ACOMA,15868 W BANFF LN SURPRISE 85379,33.61856899,-112.4015252
501-79-633,ACOMA,15876 W BANFF LN SURPRISE 85379,33.61856978,-112.4017151
501-79-634,ACOMA,15884 W BANFF LN SURPRISE 85379,33.61858272,-112.4019172
501-79-635,ACOMA,15892 W BANFF LN SURPRISE 85379,33.61859176,-112.4022611
501-79-636,ACOMA,14708 N 158TH LN SURPRISE 85379,33.61835436,-112.4023909
501-79-637,ACOMA,14696 N 158TH LN SURPRISE 85379,33.61813206,-112.4023554
501-79-638,ACOMA,14684 N 158TH LN SURPRISE 85379,33.61797278,-112.4023554
501-79-639,ACOMA,14672 N 158TH LN SURPRISE 85379,33.6178134,-112.4023558
501-79-640,ACOMA,14660 N 158TH LN SURPRISE 85379,33.61765475,-112.4023592
501-79-641,ACOMA,14648 N 158TH LN SURPRISE 85379,33.61742645,-112.4023573
501-79-642,ACOMA,15889 W LISBON LN SURPRISE 85379,33.61724398,-112.4021077
501-79-643,ACOMA,15881 W LISBON LN SURPRISE 85379,33.61725956,-112.4018516
501-79-644,ACOMA,15873 W LISBON LN SURPRISE 85379,33.61725819,-112.4016613
501-79-645,ACOMA,15865 W LISBON LN SURPRISE 85379,33.61725598,-112.401471
501-79-646,ACOMA,15868 W LISBON LN SURPRISE 85379,33.61773605,-112.4015007
501-79-647,ACOMA,15876 W LISBON LN SURPRISE 85379,33.61773797,-112.4016912
501-79-648,ACOMA,15884 W LISBON LN SURPRISE 85379,33.61774101,-112.4018812
501-79-649,ACOMA,15883 W BANFF LN SURPRISE 85379,33.61809597,-112.401876
501-79-650,ACOMA,15875 W BANFF LN SURPRISE 85379,33.61809519,-112.4016861
501-79-651,ACOMA,15867 W BANFF LN SURPRISE 85379,33.61809326,-112.4014956
501-79-652,ACOMA,15851 W BANFF LN SURPRISE 85379,33.61808846,-112.4010211
501-79-653,ACOMA,15843 W BANFF LN SURPRISE 85379,33.61808687,-112.4008634
501-79-654,ACOMA,15835 W BANFF LN SURPRISE 85379,33.61808527,-112.4007058
501-79-655,ACOMA,15827 W BANFF LN SURPRISE 85379,33.61808367,-112.4005481
501-79-656,ACOMA,15819 W BANFF LN SURPRISE 85379,33.61808208,-112.4003905
501-79-657,ACOMA,15811 W BANFF LN SURPRISE 85379,33.61808048,-112.4002328
501-79-658,ACOMA,15803 W BANFF LN SURPRISE 85379,33.61807888,-112.4000752
501-79-659,ACOMA,15795 W BANFF LN SURPRISE 85379,33.61807729,-112.3999175
501-79-660,ACOMA,15787 W BANFF LN SURPRISE 85379,33.61807569,-112.3997599
501-79-661,ACOMA,15779 W BANFF LN SURPRISE 85379,33.61807273,-112.3996028
501-79-662,ACOMA,15780 W LISBON LN SURPRISE 85379,33.61771825,-112.3996079
501-79-663,ACOMA,15788 W LISBON LN SURPRISE 85379,33.61771847,-112.3997651
501-79-664,ACOMA,15796 W LISBON LN SURPRISE 85379,33.61772007,-112.3999227
501-79-665,ACOMA,15804 W LISBON LN SURPRISE 85379,33.61772167,-112.4000804
501-79-666,ACOMA,15812 W LISBON LN SURPRISE 85379,33.61772326,-112.400238
501-79-667,ACOMA,15820 W LISBON LN SURPRISE 85379,33.61772486,-112.4003957
501-79-668,ACOMA,15828 W LISBON LN SURPRISE 85379,33.61772646,-112.4005533
501-79-669,ACOMA,15836 W LISBON LN SURPRISE 85379,33.61772805,-112.400711
501-79-670,ACOMA,15844 W LISBON LN SURPRISE 85379,33.61772965,-112.4008686
501-79-671,ACOMA,15852 W LISBON LN SURPRISE 85379,33.61773124,-112.4010263
501-79-672,ACOMA,15777 W LISBON LN SURPRISE 85379,33.61723238,-112.39955
501-79-673,ACOMA,15785 W LISBON LN SURPRISE 85379,33.61723837,-112.3997072
501-79-674,ACOMA,15793 W LISBON LN SURPRISE 85379,33.61723997,-112.3998648
501-79-675,ACOMA,15801 W LISBON LN SURPRISE 85379,33.61724157,-112.4000225
501-79-676,ACOMA,15809 W LISBON LN SURPRISE 85379,33.61724316,-112.4001801
501-79-677,ACOMA,15817 W LISBON LN SURPRISE 85379,33.61724476,-112.4003378
501-79-678,ACOMA,15825 W LISBON LN SURPRISE 85379,33.61724636,-112.4004954
501-79-679,ACOMA,15833 W LISBON LN SURPRISE 85379,33.61724795,-112.400653
501-79-680,ACOMA,15841 W LISBON LN SURPRISE 85379,33.61724955,-112.4008107
501-79-681,ACOMA,15849 W LISBON LN SURPRISE 85379,33.61725079,-112.4009682
501-92-001,GREENWAYPARC1,15772 W CARIBBEAN LN SURPRISE 85379,33.62339587,-112.3996583
501-92-002,GREENWAYPARC1,15778 W CARIBBEAN LN SURPRISE 85379,33.62362559,-112.3996466
501-92-003,GREENWAYPARC1,15784 W CARIBBEAN LN SURPRISE 85379,33.62379158,-112.3998776
501-92-004,GREENWAYPARC1,15790 W CARIBBEAN LN SURPRISE 85379,33.6237602,-112.4002072
501-92-005,GREENWAYPARC1,15796 W CARIBBEAN LN SURPRISE 85379,33.62355477,-112.4003326
501-92-006,GREENWAYPARC1,15802 W CARIBBEAN LN SURPRISE 85379,33.62371503,-112.4005593
501-92-007,GREENWAYPARC1,15808 W CARIBBEAN LN SURPRISE 85379,33.62376175,-112.4007645
501-92-008,GREENWAYPARC1,15814 W CARIBBEAN LN SURPRISE 85379,33.62379351,-112.4009761
501-92-009,GREENWAYPARC1,15820 W CARIBBEAN LN SURPRISE 85379,33.62379513,-112.4011835
501-92-010,GREENWAYPARC1,15826 W CARIBBEAN LN SURPRISE 85379,33.62379608,-112.401382
501-92-011,GREENWAYPARC1,15832 W CARIBBEAN LN SURPRISE 85379,33.62379808,-112.4015791
501-92-012,GREENWAYPARC1,15838 W CARIBBEAN LN SURPRISE 85379,33.62380008,-112.4017761
501-92-013,GREENWAYPARC1,15844 W CARIBBEAN LN SURPRISE 85379,33.62380858,-112.4019729
501-92-014,GREENWAYPARC1,15850 W CARIBBEAN LN SURPRISE 85379,33.62380262,-112.4022331
501-92-015,GREENWAYPARC1,15350 N 158TH LN SURPRISE 85379,33.62359794,-112.4024108
501-92-016,GREENWAYPARC1,15338 N 158TH LN SURPRISE 85379,33.62339188,-112.4023916
501-92-017,GREENWAYPARC1,15326 N 158TH LN SURPRISE 85379,33.62322717,-112.4023914
501-92-018,GREENWAYPARC1,15314 N 158TH LN SURPRISE 85379,33.62306227,-112.4023918
501-92-019,GREENWAYPARC1,15302 N 158TH LN SURPRISE 85379,33.6228378,-112.4024168
501-92-020,GREENWAYPARC1,15837 W ACAPULCO LN SURPRISE 85379,33.6226041,-112.40229
501-92-021,GREENWAYPARC1,15831 W ACAPULCO LN SURPRISE 85379,33.62260925,-112.401943
501-92-022,GREENWAYPARC1,15828 W PORT AU PRINCE LN SURPRISE 85379,33.62231542,-112.4019472
501-92-023,GREENWAYPARC1,15834 W PORT AU PRINCE LN SURPRISE 85379,33.62231293,-112.402303
501-92-024,GREENWAYPARC1,15152 N 158TH LN SURPRISE 85379,33.62206674,-112.402401
501-92-025,GREENWAYPARC1,15140 N 158TH LN SURPRISE 85379,33.62186529,-112.4023749
501-92-026,GREENWAYPARC1,15128 N 158TH LN SURPRISE 85379,33.62170039,-112.4023753
501-92-027,GREENWAYPARC1,15116 N 158TH LN SURPRISE 85379,33.62153549,-112.4023757
501-92-028,GREENWAYPARC1,15104 N 158TH LN SURPRISE 85379,33.62137058,-112.4023761
501-92-029,GREENWAYPARC1,15092 N 158TH LN SURPRISE 85379,33.62120598,-112.4023772
501-92-030,GREENWAYPARC1,15080 N 158TH LN SURPRISE 85379,33.62099822,-112.4024056
501-92-031,GREENWAYPARC1,15068 N 158TH LN SURPRISE 85379,33.62081155,-112.4022563
501-92-032,GREENWAYPARC1,15069 N 158TH LN SURPRISE 85379,33.62079843,-112.4018959
